number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
camera id = 13, point id = 5, error_u = 1.504643, error_v = 0.232811
camera id = 15, point id = 5, error_u = 0.140687, error_v = 0.460722
successful step! iteration = 52, error before = 324.321368, error next = 318.250983, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.447329, error_v = 0.701646
camera id = 1, point id = 0, error_u = -1.616950, error_v = 1.791885
camera id = 2, point id = 0, error_u = 0.470294, error_v = 2.018891
camera id = 7, point id = 0, error_u = 3.642297, error_v = 5.074083
camera id = 12, point id = 0, error_u = 3.707270, error_v = 1.027046
camera id = 13, point id = 0, error_u = -0.042075, error_v = 0.889264
camera id = 0, point id = 1, error_u = -0.253359, error_v = 0.304194
camera id = 1, point id = 1, error_u = -1.277369, error_v = 0.173700
camera id = 10, point id = 1, error_u = -4.604375, error_v = 0.017187
camera id = 0, point id = 2, error_u = -0.405482, error_v = -0.356393
camera id = 1, point id = 2, error_u = 2.085800, error_v = 0.424382
camera id = 2, point id = 2, error_u = 0.575602, error_v = 0.129572
camera id = 6, point id = 2, error_u = 0.315117, error_v = -0.488657
camera id = 7, point id = 2, error_u = 0.917305, error_v = -1.595092
camera id = 9, point id = 2, error_u = -7.883836, error_v = -2.421443
camera id = 10, point id = 2, error_u = -0.053182, error_v = 1.081659
camera id = 12, point id = 2, error_u = 1.204261, error_v = 1.854737
camera id = 13, point id = 2, error_u = 0.305691, error_v = -0.165720
camera id = 15, point id = 2, error_u = -0.059284, error_v = -0.290396
camera id = 0, point id = 3, error_u = -0.304001, error_v = -0.434635
camera id = 1, point id = 3, error_u = 2.197023, error_v = 0.318323
camera id = 2, point id = 3, error_u = 0.348748, error_v = 0.205531
camera id = 6, point id = 3, error_u = 0.177130, error_v = -0.338705
camera id = 7, point id = 3, error_u = 0.855293, error_v = -1.509218
camera id = 8, point id = 3, error_u = 1.462927, error_v = 1.082247
camera id = 9, point id = 3, error_u = -8.178557, error_v = -2.309050
camera id = 10, point id = 3, error_u = -0.115670, error_v = 1.112979
camera id = 12, point id = 3, error_u = 1.221676, error_v = 1.853902
camera id = 15, point id = 3, error_u = 0.186537, error_v = -0.482296
camera id = 0, point id = 4, error_u = 0.713034, error_v = 0.978773
camera id = 1, point id = 4, error_u = 1.760535, error_v = 2.286727
camera id = 2, point id = 4, error_u = 1.119020, error_v = 2.735881
camera id = 3, point id = 4, error_u = -10.081221, error_v = 1.241331
camera id = 5, point id = 4, error_u = 0.557890, error_v = 0.365146
camera id = 6, point id = 4, error_u = -0.726137, error_v = 2.164103
camera id = 8, point id = 4, error_u = 1.503228, error_v = 1.356879
camera id = 9, point id = 4, error_u = -4.657599, error_v = -2.279163
camera id = 11, point id = 4, error_u = -0.355858, error_v = 0.327064
camera id = 13, point id = 4, error_u = 0.402599, error_v = 0.238296
camera id = 14, point id = 4, error_u = -0.295886, error_v = 0.136486
camera id = 0, point id = 5, error_u = 1.437474, error_v = 0.604276
camera id = 1, point id = 5, error_u = 0.937052, error_v = 1.465790
camera id = 3, point id = 5, error_u = -6.306238, error_v = -6.776252
camera id = 4, point id = 5, error_u = 1.488152, error_v = -1.840086
camera id = 5, point id = 5, error_u = 0.894454, error_v = 1.108380
camera id = 6, point id = 5, error_u = 0.352381, error_v = 2.370243
camera id = 7, point id = 5, error_u = 3.814022, error_v = 1.534745
camera id = 8, point id = 5, error_u = 0.976857, error_v = 2.672362
camera id = 9, point id = 5, error_u = -8.214919, error_v = -3.086798
camera id = 10, point id = 5, error_u = -2.247283, error_v = -1.048220
camera id = 13, point id = 5, error_u = 1.574246, error_v = 0.285449
camera id = 15, point id = 5, error_u = 0.163738, error_v = 0.448538
successful step! iteration = 53, error before = 318.250983, error next = 312.746506, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.454732, error_v = 0.712284
camera id = 1, point id = 0, error_u = -1.702930, error_v = 1.781143
camera id = 2, point id = 0, error_u = 0.559177, error_v = 2.147566
camera id = 7, point id = 0, error_u = 3.742274, error_v = 5.163047
camera id = 12, point id = 0, error_u = 3.514951, error_v = 1.075468
camera id = 13, point id = 0, error_u = -0.067816, error_v = 0.890517
camera id = 0, point id = 1, error_u = -0.240013, error_v = 0.305667
camera id = 1, point id = 1, error_u = -1.423449, error_v = 0.211189
camera id = 10, point id = 1, error_u = -4.802396, error_v = -0.122858
camera id = 0, point id = 2, error_u = -0.394054, error_v = -0.349755
camera id = 1, point id = 2, error_u = 1.899028, error_v = 0.460502
camera id = 2, point id = 2, error_u = 0.718627, error_v = 0.255032
camera id = 6, point id = 2, error_u = 0.320223, error_v = -0.523561
camera id = 7, point id = 2, error_u = 1.149157, error_v = -1.515708
camera id = 9, point id = 2, error_u = -7.780367, error_v = -2.264081
camera id = 10, point id = 2, error_u = -0.291059, error_v = 0.908283
camera id = 12, point id = 2, error_u = 1.221496, error_v = 1.842555
camera id = 13, point id = 2, error_u = 0.281023, error_v = -0.157538
camera id = 15, point id = 2, error_u = -0.136041, error_v = -0.356639
camera id = 0, point id = 3, error_u = -0.290271, error_v = -0.426133
camera id = 1, point id = 3, error_u = 2.015066, error_v = 0.357139
camera id = 2, point id = 3, error_u = 0.494061, error_v = 0.333865
camera id = 6, point id = 3, error_u = 0.184778, error_v = -0.370022
camera id = 7, point id = 3, error_u = 1.089776, error_v = -1.428264
camera id = 8, point id = 3, error_u = 1.473074, error_v = 1.109904
camera id = 9, point id = 3, error_u = -8.072826, error_v = -2.149918
camera id = 10, point id = 3, error_u = -0.349195, error_v = 0.945875
camera id = 12, point id = 3, error_u = 1.241654, error_v = 1.843315
camera id = 15, point id = 3, error_u = 0.113210, error_v = -0.544474
camera id = 0, point id = 4, error_u = 0.752015, error_v = 0.965923
camera id = 1, point id = 4, error_u = 1.660489, error_v = 2.246417
camera id = 2, point id = 4, error_u = 1.254116, error_v = 2.819537
camera id = 3, point id = 4, error_u = -10.059474, error_v = 1.351155
camera id = 5, point id = 4, error_u = 0.543346, error_v = 0.340837
camera id = 6, point id = 4, error_u = -0.658168, error_v = 2.110096
camera id = 8, point id = 4, error_u = 1.521743, error_v = 1.356712
camera id = 9, point id = 4, error_u = -4.578070, error_v = -2.160671
camera id = 11, point id = 4, error_u = -0.315171, error_v = 0.308548
camera id = 13, point id = 4, error_u = 0.412116, error_v = 0.227220
camera id = 14, point id = 4, error_u = -0.247585, error_v = 0.115776
camera id = 0, point id = 5, error_u = 1.503044, error_v = 0.643815
camera id = 1, point id = 5, error_u = 0.854081, error_v = 1.499939
camera id = 3, point id = 5, error_u = -6.000652, error_v = -6.512820
camera id = 4, point id = 5, error_u = 1.588652, error_v = -1.877241
camera id = 5, point id = 5, error_u = 0.932631, error_v = 1.176361
camera id = 6, point id = 5, error_u = 0.527008, error_v = 2.420241
camera id = 7, point id = 5, error_u = 4.113577, error_v = 1.675878
camera id = 8, point id = 5, error_u = 1.108977, error_v = 2.780468
camera id = 9, point id = 5, error_u = -7.973524, error_v = -2.737954
camera id = 10, point id = 5, error_u = -2.313458, error_v = -1.174614
camera id = 13, point id = 5, error_u = 1.643176, error_v = 0.337571
camera id = 15, point id = 5, error_u = 0.186819, error_v = 0.436339
successful step! iteration = 54, error before = 312.746506, error next = 307.834788, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.462753, error_v = 0.721005
camera id = 1, point id = 0, error_u = -1.789692, error_v = 1.767716
camera id = 2, point id = 0, error_u = 0.646674, error_v = 2.271342
camera id = 7, point id = 0, error_u = 3.837565, error_v = 5.246367
camera id = 12, point id = 0, error_u = 3.319864, error_v = 1.119302
camera id = 13, point id = 0, error_u = -0.094510, error_v = 0.889981
camera id = 0, point id = 1, error_u = -0.224244, error_v = 0.306903
camera id = 1, point id = 1, error_u = -1.568329, error_v = 0.246448
camera id = 10, point id = 1, error_u = -4.993781, error_v = -0.262845
camera id = 0, point id = 2, error_u = -0.382810, error_v = -0.343330
camera id = 1, point id = 2, error_u = 1.710763, error_v = 0.494946
camera id = 2, point id = 2, error_u = 0.860226, error_v = 0.378935
camera id = 6, point id = 2, error_u = 0.324557, error_v = -0.559641
camera id = 7, point id = 2, error_u = 1.376734, error_v = -1.435480
camera id = 9, point id = 2, error_u = -7.661731, error_v = -2.102369
camera id = 10, point id = 2, error_u = -0.524909, error_v = 0.734806
camera id = 12, point id = 2, error_u = 1.236107, error_v = 1.827892
camera id = 13, point id = 2, error_u = 0.255388, error_v = -0.149871
camera id = 15, point id = 2, error_u = -0.212532, error_v = -0.422278
camera id = 0, point id = 3, error_u = -0.276833, error_v = -0.417909
camera id = 1, point id = 3, error_u = 1.831451, error_v = 0.394261
camera id = 2, point id = 3, error_u = 0.637844, error_v = 0.460534
camera id = 6, point id = 3, error_u = 0.191529, error_v = -0.402613
camera id = 7, point id = 3, error_u = 1.319918, error_v = -1.346546
camera id = 8, point id = 3, error_u = 1.479932, error_v = 1.133794
camera id = 9, point id = 3, error_u = -7.952061, error_v = -1.986629
camera id = 10, point id = 3, error_u = -0.578885, error_v = 0.778540
camera id = 12, point id = 3, error_u = 1.258884, error_v = 1.830139
camera id = 15, point id = 3, error_u = 0.039984, error_v = -0.606169
camera id = 0, point id = 4, error_u = 0.790924, error_v = 0.951729
camera id = 1, point id = 4, error_u = 1.559304, error_v = 2.202930
camera id = 2, point id = 4, error_u = 1.388256, error_v = 2.900321
camera id = 3, point id = 4, error_u = -10.036619, error_v = 1.460252
camera id = 5, point id = 4, error_u = 0.528761, error_v = 0.314121
camera id = 6, point id = 4, error_u = -0.590239, error_v = 2.053236
camera id = 8, point id = 4, error_u = 1.539308, error_v = 1.352720
camera id = 9, point id = 4, error_u = -4.487278, error_v = -2.037792
camera id = 11, point id = 4, error_u = -0.273585, error_v = 0.288725
camera id = 13, point id = 4, error_u = 0.421238, error_v = 0.214648
camera id = 14, point id = 4, error_u = -0.198566, error_v = 0.093898
camera id = 0, point id = 5, error_u = 1.568363, error_v = 0.682669
camera id = 1, point id = 5, error_u = 0.770066, error_v = 1.532252
camera id = 3, point id = 5, error_u = -5.692530, error_v = -6.247902
camera id = 4, point id = 5, error_u = 1.689031, error_v = -1.910851
camera id = 5, point id = 5, error_u = 0.970203, error_v = 1.242720
camera id = 6, point id = 5, error_u = 0.701829, error_v = 2.468415
camera id = 7, point id = 5, error_u = 4.408934, error_v = 1.814894
camera id = 8, point id = 5, error_u = 1.238753, error_v = 2.884548
camera id = 9, point id = 5, error_u = -7.715842, error_v = -2.378090
camera id = 10, point id = 5, error_u = -2.376387, error_v = -1.300626
camera id = 13, point id = 5, error_u = 1.711295, error_v = 0.389072
camera id = 15, point id = 5, error_u = 0.209895, error_v = 0.424117
successful step! iteration = 55, error before = 307.834788, error next = 303.539187, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.471388, error_v = 0.727753
camera id = 1, point id = 0, error_u = -1.877092, error_v = 1.751576
camera id = 2, point id = 0, error_u = 0.732695, error_v = 2.389956
camera id = 7, point id = 0, error_u = 3.927981, error_v = 5.323776
camera id = 12, point id = 0, error_u = 3.122227, error_v = 1.158455
camera id = 13, point id = 0, error_u = -0.122139, error_v = 0.887610
camera id = 0, point id = 1, error_u = -0.205980, error_v = 0.307924
camera id = 1, point id = 1, error_u = -1.711678, error_v = 0.279408
camera id = 10, point id = 1, error_u = -5.178096, error_v = -0.402495
camera id = 0, point id = 2, error_u = -0.371778, error_v = -0.337116
camera id = 1, point id = 2, error_u = 1.521300, error_v = 0.527663
camera id = 2, point id = 2, error_u = 1.000198, error_v = 0.501100
camera id = 6, point id = 2, error_u = 0.328067, error_v = -0.596819
camera id = 7, point id = 2, error_u = 1.599697, error_v = -1.354515
camera id = 9, point id = 2, error_u = -7.528341, error_v = -1.936699
camera id = 10, point id = 2, error_u = -0.754362, error_v = 0.561532
camera id = 12, point id = 2, error_u = 1.248129, error_v = 1.810733
camera id = 13, point id = 2, error_u = 0.228790, error_v = -0.142735
camera id = 15, point id = 2, error_u = -0.288642, error_v = -0.487201
camera id = 0, point id = 3, error_u = -0.263720, error_v = -0.409964
camera id = 1, point id = 3, error_u = 1.646464, error_v = 0.429637
camera id = 2, point id = 3, error_u = 0.779890, error_v = 0.585349
camera id = 6, point id = 3, error_u = 0.197326, error_v = -0.436406
camera id = 7, point id = 3, error_u = 1.545375, error_v = -1.264169
camera id = 8, point id = 3, error_u = 1.483407, error_v = 1.153842
camera id = 9, point id = 3, error_u = -7.816678, error_v = -1.819574
camera id = 10, point id = 3, error_u = -0.804377, error_v = 0.611268
camera id = 12, point id = 3, error_u = 1.273393, error_v = 1.814358
camera id = 15, point id = 3, error_u = -0.033034, error_v = -0.667272
camera id = 0, point id = 4, error_u = 0.829704, error_v = 0.936185
camera id = 1, point id = 4, error_u = 1.457146, error_v = 2.156285
camera id = 2, point id = 4, error_u = 1.521275, error_v = 2.978068
camera id = 3, point id = 4, error_u = -10.012626, error_v = 1.568500
camera id = 5, point id = 4, error_u = 0.514108, error_v = 0.284975
camera id = 6, point id = 4, error_u = -0.522487, error_v = 1.993566
camera id = 8, point id = 4, error_u = 1.555857, error_v = 1.344842
camera id = 9, point id = 4, error_u = -4.385475, error_v = -1.910870
camera id = 11, point id = 4, error_u = -0.231207, error_v = 0.267615
camera id = 13, point id = 4, error_u = 0.429943, error_v = 0.200566
camera id = 14, point id = 4, error_u = -0.148958, error_v = 0.070872
camera id = 0, point id = 5, error_u = 1.633321, error_v = 0.720757
camera id = 1, point id = 5, error_u = 0.685147, error_v = 1.562654
camera id = 3, point id = 5, error_u = -5.382100, error_v = -5.981789
camera id = 4, point id = 5, error_u = 1.789166, error_v = -1.940704
camera id = 5, point id = 5, error_u = 1.006984, error_v = 1.307319
camera id = 6, point id = 5, error_u = 0.876553, error_v = 2.514653
camera id = 7, point id = 5, error_u = 4.699669, error_v = 1.951492
camera id = 8, point id = 5, error_u = 1.365931, error_v = 2.984353
camera id = 9, point id = 5, error_u = -7.442435, error_v = -2.008021
camera id = 10, point id = 5, error_u = -2.435942, error_v = -1.426041
camera id = 13, point id = 5, error_u = 1.778469, error_v = 0.439848
camera id = 15, point id = 5, error_u = 0.232932, error_v = 0.411864
successful step! iteration = 56, error before = 303.539187, error next = 299.879372, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.480631, error_v = 0.732476
camera id = 1, point id = 0, error_u = -1.964983, error_v = 1.732701
camera id = 2, point id = 0, error_u = 0.817151, error_v = 2.503157
camera id = 7, point id = 0, error_u = 4.013343, error_v = 5.395017
camera id = 12, point id = 0, error_u = 2.922257, error_v = 1.192843
camera id = 13, point id = 0, error_u = -0.150682, error_v = 0.883362
camera id = 0, point id = 1, error_u = -0.185156, error_v = 0.308755
camera id = 1, point id = 1, error_u = -1.853167, error_v = 0.310009
camera id = 10, point id = 1, error_u = -5.354928, error_v = -0.541532
camera id = 0, point id = 2, error_u = -0.360984, error_v = -0.331111
camera id = 1, point id = 2, error_u = 1.330933, error_v = 0.558605
camera id = 2, point id = 2, error_u = 1.138346, error_v = 0.621346
camera id = 6, point id = 2, error_u = 0.330703, error_v = -0.635019
camera id = 7, point id = 2, error_u = 1.817712, error_v = -1.272918
camera id = 9, point id = 2, error_u = -7.380636, error_v = -1.767472
camera id = 10, point id = 2, error_u = -0.979060, error_v = 0.388757
camera id = 12, point id = 2, error_u = 1.257600, error_v = 1.791070
camera id = 13, point id = 2, error_u = 0.201236, error_v = -0.136143
camera id = 15, point id = 2, error_u = -0.364260, error_v = -0.551295
camera id = 0, point id = 3, error_u = -0.250964, error_v = -0.402295
camera id = 1, point id = 3, error_u = 1.460391, error_v = 0.463216
camera id = 2, point id = 3, error_u = 0.919997, error_v = 0.708130
camera id = 6, point id = 3, error_u = 0.202112, error_v = -0.471329
camera id = 7, point id = 3, error_u = 1.765810, error_v = -1.181241
camera id = 8, point id = 3, error_u = 1.483418, error_v = 1.169982
camera id = 9, point id = 3, error_u = -7.667120, error_v = -1.649150
camera id = 10, point id = 3, error_u = -1.025320, error_v = 0.444348
camera id = 12, point id = 3, error_u = 1.285213, error_v = 1.795959
camera id = 15, point id = 3, error_u = -0.105739, error_v = -0.727676
camera id = 0, point id = 4, error_u = 0.868299, error_v = 0.919289
camera id = 1, point id = 4, error_u = 1.354182, error_v = 2.106505
camera id = 2, point id = 4, error_u = 1.653013, error_v = 3.052621
camera id = 3, point id = 4, error_u = -9.987466, error_v = 1.675781
camera id = 5, point id = 4, error_u = 0.499360, error_v = 0.253382
camera id = 6, point id = 4, error_u = -0.455046, error_v = 1.931138
camera id = 8, point id = 4, error_u = 1.571329, error_v = 1.333025
camera id = 9, point id = 4, error_u = -4.272930, error_v = -1.780256
camera id = 11, point id = 4, error_u = -0.188143, error_v = 0.245243
camera id = 13, point id = 4, error_u = 0.438211, error_v = 0.184961
camera id = 14, point id = 4, error_u = -0.098890, error_v = 0.046727
camera id = 0, point id = 5, error_u = 1.697806, error_v = 0.758005
camera id = 1, point id = 5, error_u = 0.599466, error_v = 1.591076
camera id = 3, point id = 5, error_u = -5.069596, error_v = -5.714774
camera id = 4, point id = 5, error_u = 1.888930, error_v = -1.966596
camera id = 5, point id = 5, error_u = 1.042791, error_v = 1.370025
camera id = 6, point id = 5, error_u = 1.050892, error_v = 2.558847
camera id = 7, point id = 5, error_u = 4.985362, error_v = 2.085376
camera id = 8, point id = 5, error_u = 1.490265, error_v = 3.079645
camera id = 9, point id = 5, error_u = -7.153892, error_v = -1.628584
camera id = 10, point id = 5, error_u = -2.492005, error_v = -1.550649
camera id = 13, point id = 5, error_u = 1.844563, error_v = 0.489797
camera id = 15, point id = 5, error_u = 0.255893, error_v = 0.399571
successful step! iteration = 57, error before = 299.879372, error next = 296.871155, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.490475, error_v = 0.735125
camera id = 1, point id = 0, error_u = -2.053219, error_v = 1.711076
camera id = 2, point id = 0, error_u = 0.899956, error_v = 2.610702
camera id = 7, point id = 0, error_u = 4.093479, error_v = 5.459843
camera id = 12, point id = 0, error_u = 2.720175, error_v = 1.222394
camera id = 13, point id = 0, error_u = -0.180118, error_v = 0.877201
camera id = 0, point id = 1, error_u = -0.161712, error_v = 0.309420
camera id = 1, point id = 1, error_u = -1.992475, error_v = 0.338194
camera id = 10, point id = 1, error_u = -5.523878, error_v = -0.679681
camera id = 0, point id = 2, error_u = -0.350458, error_v = -0.325310
camera id = 1, point id = 2, error_u = 1.139955, error_v = 0.587730
camera id = 2, point id = 2, error_u = 1.274475, error_v = 0.739501
camera id = 6, point id = 2, error_u = 0.332417, error_v = -0.674159
camera id = 7, point id = 2, error_u = 2.030457, error_v = -1.190793
camera id = 9, point id = 2, error_u = -7.219081, error_v = -1.595093
camera id = 10, point id = 2, error_u = -1.198656, error_v = 0.216779
camera id = 12, point id = 2, error_u = 1.264561, error_v = 1.768900
camera id = 13, point id = 2, error_u = 0.172732, error_v = -0.130103
camera id = 15, point id = 2, error_u = -0.439273, error_v = -0.614450
camera id = 0, point id = 3, error_u = -0.238598, error_v = -0.394900
camera id = 1, point id = 3, error_u = 1.273516, error_v = 0.494954
camera id = 2, point id = 3, error_u = 1.057964, error_v = 0.828700
camera id = 6, point id = 3, error_u = 0.205837, error_v = -0.507304
camera id = 7, point id = 3, error_u = 1.980897, error_v = -1.097867
camera id = 8, point id = 3, error_u = 1.479886, error_v = 1.182159
camera id = 9, point id = 3, error_u = -7.503858, error_v = -1.475766
camera id = 10, point id = 3, error_u = -1.241376, error_v = 0.278069
camera id = 12, point id = 3, error_u = 1.294380, error_v = 1.774937
camera id = 15, point id = 3, error_u = -0.178026, error_v = -0.787275
camera id = 0, point id = 4, error_u = 0.906656, error_v = 0.901038
camera id = 1, point id = 4, error_u = 1.250579, error_v = 2.053620
camera id = 2, point id = 4, error_u = 1.783309, error_v = 3.123831
camera id = 3, point id = 4, error_u = -9.961110, error_v = 1.781976
camera id = 5, point id = 4, error_u = 0.484488, error_v = 0.219328
camera id = 6, point id = 4, error_u = -0.388053, error_v = 1.866008
camera id = 8, point id = 4, error_u = 1.585661, error_v = 1.317226
camera id = 9, point id = 4, error_u = -4.149936, error_v = -1.646311
camera id = 11, point id = 4, error_u = -0.144502, error_v = 0.221637
camera id = 13, point id = 4, error_u = 0.446020, error_v = 0.167823
camera id = 14, point id = 4, error_u = -0.048492, error_v = 0.021491
camera id = 0, point id = 5, error_u = 1.761707, error_v = 0.794337
camera id = 1, point id = 5, error_u = 0.513163, error_v = 1.617450
camera id = 3, point id = 5, error_u = -4.755248, error_v = -5.447148
camera id = 4, point id = 5, error_u = 1.988194, error_v = -1.988329
camera id = 5, point id = 5, error_u = 1.077444, error_v = 1.430706
camera id = 6, point id = 5, error_u = 1.224557, error_v = 2.600891
camera id = 7, point id = 5, error_u = 5.265603, error_v = 2.216255
camera id = 8, point id = 5, error_u = 1.611513, error_v = 3.170194
camera id = 9, point id = 5, error_u = -6.850833, error_v = -1.240636
camera id = 10, point id = 5, error_u = -2.544463, error_v = -1.674241
camera id = 13, point id = 5, error_u = 1.909444, error_v = 0.538819
camera id = 15, point id = 5, error_u = 0.278744, error_v = 0.387229
successful step! iteration = 58, error before = 296.871155, error next = 294.526338, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.500914, error_v = 0.735657
camera id = 1, point id = 0, error_u = -2.141654, error_v = 1.686688
camera id = 2, point id = 0, error_u = 0.981028, error_v = 2.712364
camera id = 7, point id = 0, error_u = 4.168226, error_v = 5.518020
camera id = 12, point id = 0, error_u = 2.516200, error_v = 1.247047
camera id = 13, point id = 0, error_u = -0.210423, error_v = 0.869093
camera id = 0, point id = 1, error_u = -0.135594, error_v = 0.309946
camera id = 1, point id = 1, error_u = -2.129283, error_v = 0.363911
camera id = 10, point id = 1, error_u = -5.684568, error_v = -0.816671
camera id = 0, point id = 2, error_u = -0.340229, error_v = -0.319708
camera id = 1, point id = 2, error_u = 0.948657, error_v = 0.614998
camera id = 2, point id = 2, error_u = 1.408395, error_v = 0.855394
camera id = 6, point id = 2, error_u = 0.333164, error_v = -0.714157
camera id = 7, point id = 2, error_u = 2.237620, error_v = -1.108243
camera id = 9, point id = 2, error_u = -7.044170, error_v = -1.419979
camera id = 10, point id = 2, error_u = -1.412819, error_v = 0.045888
camera id = 12, point id = 2, error_u = 1.269062, error_v = 1.744224
camera id = 13, point id = 2, error_u = 0.143288, error_v = -0.124626
camera id = 15, point id = 2, error_u = -0.513574, error_v = -0.676557
camera id = 0, point id = 3, error_u = -0.226653, error_v = -0.387774
camera id = 1, point id = 3, error_u = 1.086126, error_v = 0.524810
camera id = 2, point id = 3, error_u = 1.193597, error_v = 0.946887
camera id = 6, point id = 3, error_u = 0.208451, error_v = -0.544251
camera id = 7, point id = 3, error_u = 2.190319, error_v = -1.014151
camera id = 8, point id = 3, error_u = 1.472743, error_v = 1.190327
camera id = 9, point id = 3, error_u = -7.327388, error_v = -1.299833
camera id = 10, point id = 3, error_u = -1.452220, error_v = 0.112717
camera id = 12, point id = 3, error_u = 1.300937, error_v = 1.751292
camera id = 15, point id = 3, error_u = -0.249791, error_v = -0.845962
camera id = 0, point id = 4, error_u = 0.944718, error_v = 0.881434
camera id = 1, point id = 4, error_u = 1.146503, error_v = 1.997664
camera id = 2, point id = 4, error_u = 1.912007, error_v = 3.191553
camera id = 3, point id = 4, error_u = -9.933531, error_v = 1.886973
camera id = 5, point id = 4, error_u = 0.469465, error_v = 0.182807
camera id = 6, point id = 4, error_u = -0.321639, error_v = 1.798236
camera id = 8, point id = 4, error_u = 1.598794, error_v = 1.297411
camera id = 9, point id = 4, error_u = -4.016804, error_v = -1.509404
camera id = 11, point id = 4, error_u = -0.100393, error_v = 0.196829
camera id = 13, point id = 4, error_u = 0.453350, error_v = 0.149148
camera id = 14, point id = 4, error_u = 0.002108, error_v = -0.004803
camera id = 0, point id = 5, error_u = 1.824913, error_v = 0.829681
camera id = 1, point id = 5, error_u = 0.426379, error_v = 1.641715
camera id = 3, point id = 5, error_u = -4.439290, error_v = -5.179203
camera id = 4, point id = 5, error_u = 2.086828, error_v = -2.005709
camera id = 5, point id = 5, error_u = 1.110761, error_v = 1.489239
camera id = 6, point id = 5, error_u = 1.397264, error_v = 2.640685
camera id = 7, point id = 5, error_u = 5.539993, error_v = 2.343844
camera id = 8, point id = 5, error_u = 1.729442, error_v = 3.255782
camera id = 9, point id = 5, error_u = -6.533905, error_v = -0.845054
camera id = 10, point id = 5, error_u = -2.593214, error_v = -1.796613
camera id = 13, point id = 5, error_u = 1.972980, error_v = 0.586818
camera id = 15, point id = 5, error_u = 0.301449, error_v = 0.374828
successful step! iteration = 59, error before = 294.526338, error next = 292.852607, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.511941, error_v = 0.734033
camera id = 1, point id = 0, error_u = -2.230140, error_v = 1.659534
camera id = 2, point id = 0, error_u = 1.060286, error_v = 2.807927
camera id = 7, point id = 0, error_u = 4.237431, error_v = 5.569327
camera id = 12, point id = 0, error_u = 2.310555, error_v = 1.266756
camera id = 13, point id = 0, error_u = -0.241574, error_v = 0.859012
camera id = 0, point id = 1, error_u = -0.106754, error_v = 0.310358
camera id = 1, point id = 1, error_u = -2.263285, error_v = 0.387117
camera id = 10, point id = 1, error_u = -5.836637, error_v = -0.952236
camera id = 0, point id = 2, error_u = -0.330324, error_v = -0.314300
camera id = 1, point id = 2, error_u = 0.757331, error_v = 0.640377
camera id = 2, point id = 2, error_u = 1.539918, error_v = 0.968862
camera id = 6, point id = 2, error_u = 0.332902, error_v = -0.754928
camera id = 7, point id = 2, error_u = 2.438898, error_v = -1.025370
camera id = 9, point id = 2, error_u = -6.856420, error_v = -1.242549
camera id = 10, point id = 2, error_u = -1.621231, error_v = -0.123628
camera id = 12, point id = 2, error_u = 1.271152, error_v = 1.717050
camera id = 13, point id = 2, error_u = 0.112913, error_v = -0.119716
camera id = 15, point id = 2, error_u = -0.587054, error_v = -0.737510
camera id = 0, point id = 3, error_u = -0.215163, error_v = -0.380914
camera id = 1, point id = 3, error_u = 0.898503, error_v = 0.552749
camera id = 2, point id = 3, error_u = 1.326706, error_v = 1.062525
camera id = 6, point id = 3, error_u = 0.209908, error_v = -0.582089
camera id = 7, point id = 3, error_u = 2.393771, error_v = -0.930194
camera id = 8, point id = 3, error_u = 1.461927, error_v = 1.194451
camera id = 9, point id = 3, error_u = -7.138231, error_v = -1.121770
camera id = 10, point id = 3, error_u = -1.657540, error_v = -0.051429
camera id = 12, point id = 3, error_u = 1.304929, error_v = 1.725027
camera id = 15, point id = 3, error_u = -0.320934, error_v = -0.903635
camera id = 0, point id = 4, error_u = 0.982432, error_v = 0.860481
camera id = 1, point id = 4, error_u = 1.042121, error_v = 1.938679
camera id = 2, point id = 4, error_u = 2.038954, error_v = 3.255651
camera id = 3, point id = 4, error_u = -9.904698, error_v = 1.990657
camera id = 5, point id = 4, error_u = 0.454264, error_v = 0.143817
camera id = 6, point id = 4, error_u = -0.255934, error_v = 1.727889
camera id = 8, point id = 4, error_u = 1.610670, error_v = 1.273554
camera id = 9, point id = 4, error_u = -3.873862, error_v = -1.369906
camera id = 11, point id = 4, error_u = -0.055926, error_v = 0.170852
camera id = 13, point id = 4, error_u = 0.460182, error_v = 0.128933
camera id = 14, point id = 4, error_u = 0.052778, error_v = -0.032117
camera id = 0, point id = 5, error_u = 1.887314, error_v = 0.863966
camera id = 1, point id = 5, error_u = 0.339255, error_v = 1.663814
camera id = 3, point id = 5, error_u = -4.121954, error_v = -4.911231
camera id = 4, point id = 5, error_u = 2.184697, error_v = -2.018551
camera id = 5, point id = 5, error_u = 1.142566, error_v = 1.545504
camera id = 6, point id = 5, error_u = 1.568729, error_v = 2.678133
camera id = 7, point id = 5, error_u = 5.808140, error_v = 2.467865
